
School Name,School Type,Total Enrollment,Meal Program Participants,FRPM Percent (%),Expanded Learning Program,After School Education Program,Estimated Funding (USD)
A. M. Winn Waldorf-Inspired,Elementary Schools (Public),389,247,0.6349614395886889,No,No,291212.99999999994
Abraham Lincoln Elementary,Elementary Schools (Public),511,442,0.8649706457925636,Yes,Yes,521117.9999999999
Albert Einstein Middle,Intermediate/Middle Schools (Public),609,456,0.7487684729064039,No,No,537623.9999999999
Alice Birney Waldorf-Inspired,Elementary Schools (Public),481,163,0.3388773388773389,Yes,Yes,192176.99999999997
American Legion High (Continuation),Continuation High Schools,155,144,0.9290322580645162,No,No,169775.99999999997
Arthur A. Benjamin Health Professions High,High Schools (Public),185,119,0.6432432432432432,No,No,140300.99999999997
Aspire Capitol Heights Academy,Elementary Schools (Public),214,187,0.8738317757009346,No,No,220472.99999999997
Bowling Green Elementary,Elementary Schools (Public),703,629,0.8947368421052632,No,No,741590.9999999999
Bret Harte Elementary,Elementary Schools (Public),189,150,0.7936507936507936,Yes,Yes,176849.99999999997
C. K. McClatchy High,High Schools (Public),2481,1435,0.5783958081418783,No,No,1691864.9999999998
Caleb Greenwood Elementary,Elementary Schools (Public),497,122,0.2454728370221328,Yes,Yes,143837.99999999997
California Middle,Intermediate/Middle Schools (Public),753,517,0.6865869853917662,No,No,609542.9999999999
California Montessori Project - Capitol Campus,Elementary Schools (Public),357,83,0.23249299719887956,No,No,97856.99999999999
Camellia Elementary,Elementary Schools (Public),344,299,0.8691860465116279,Yes,Yes,352520.99999999994
Capital City Independent Study,Alternative Schools of Choice,356,298,0.8370786516853933,No,No,351341.99999999994
Capitol Collegiate Academy,Elementary Schools (Public),449,386,0.8596881959910914,No,No,455093.9999999999
Caroline Wenzel Elementary,Elementary Schools (Public),203,159,0.7832512315270936,Yes,Yes,187460.99999999997
Cesar Chavez Intermediate,Elementary Schools (Public),380,356,0.9368421052631579,Yes,Yes,419723.99999999994
Crocker/Riverside Elementary,Elementary Schools (Public),636,116,0.18238993710691823,Yes,Yes,136763.99999999997
